Wk;Day;Date;Time;Home;xG;Score;xG;Away;Venue
19;Sat;27/01/2024;21:00;Marseille;2.4;2–2;0.5;Monaco;Orange Vélodrome
19;Sun;28/01/2024;13:00;Montpellier;0.7;0–0;0.5;Lille;Stade de la Mosson
19;Sun;28/01/2024;15:00;Lorient;1.0;3–3;1.7;Le Havre;Stade du Moustoir
19;Sun;28/01/2024;15:00;Reims;0.9;0–0;1.2;Nantes;Stade Auguste-Delaune
19;Sun;28/01/2024;15:00;Clermont Foot;1.5;1–1;1.0;Strasbourg;Stade Gabriel Montpied
19;Sun;28/01/2024;17:05;Toulouse;1.7;0–2;0.8;Lens;Stadium Municipal
19;Sun;28/01/2024;20:45;Paris S-G;2.1;2–2;0.7;Brest;Parc des Princes
20;Fri;02/02/2024;21:00;Strasbourg;2.7;1–2;2.0;Paris S-G;Stade de la Meinau
20;Sat;03/02/2024;17:00;Rennes;2.0;2–1;1.2;Montpellier;Roazhon Park
20;Sat;03/02/2024;21:00;Nantes;0.6;0–1;1.6;Lens;Stade de la Beaujoire - Louis Fonteneau
20;Sun;04/02/2024;13:00;Monaco;1.4;1–1;0.1;Le Havre;Stade Louis II
20;Sun;04/02/2024;15:00;Lille;2.9;4–0;0.4;Clermont Foot;Decathlon Arena - Stade Pierre-Mauroy
20;Sun;04/02/2024;15:00;Metz;1.1;1–2;1.4;Lorient;Stade Saint-Symphorien
20;Sun;04/02/2024;15:00;Reims;2.8;2–3;1.5;Toulouse;Stade Auguste-Delaune
20;Sun;04/02/2024;17:05;Brest;1.0;0–0;0.7;Nice;Stade Francis-Le Blé
20;Sun;04/02/2024;20:45;Lyon;1.4;1–0;0.3;Marseille;Groupama Stadium
21;Fri;09/02/2024;21:00;Marseille;1.8;1–1;0.8;Metz;Orange Vélodrome
21;Sat;10/02/2024;17:00;Lens;1.6;3–1;1.8;Strasbourg;Stade Bollaert-Delelis
21;Sat;10/02/2024;21:00;Paris S-G;2.8;3–1;1.2;Lille;Parc des Princes
21;Sun;11/02/2024;13:00;Le Havre;1.1;0–1;0.9;Rennes;Stade Océane
21;Sun;11/02/2024;15:00;Lorient;1.9;2–0;1.2;Reims;Stade du Moustoir
21;Sun;11/02/2024;15:00;Toulouse;1.0;1–2;0.4;Nantes;Stadium Municipal
21;Sun;11/02/2024;15:00;Clermont Foot;1.2;1–1;1.5;Brest;Stade Gabriel Montpied
21;Sun;11/02/2024;17:05;Montpellier;1.5;1–2;1.2;Lyon;Stade de la Mosson
21;Sun;11/02/2024;20:45;Nice;2.1;2–3;1.7;Monaco;Stade de Nice
22;Fri;16/02/2024;21:00;Lyon;1.1;1–0;0.8;Nice;Groupama Stadium
22;Sat;17/02/2024;17:00;Lille;3.8;3–0;0.6;Le Havre;Decathlon Arena - Stade Pierre-Mauroy
22;Sat;17/02/2024;21:00;Nantes;1.3;0–2;1.5;Paris S-G;Stade de la Beaujoire - Louis Fonteneau
22;Sun;18/02/2024;13:00;Strasbourg;1.6;1–3;2.0;Lorient;Stade de la Meinau
22;Sun;18/02/2024;15:00;Rennes;3.7;3–1;0.8;Clermont Foot;Roazhon Park
22;Sun;18/02/2024;15:00;Montpellier;3.0;3–0;1.3;Metz;Stade de la Mosson
22;Sun;18/02/2024;15:00;Monaco;1.7;1–2;1.4;Toulouse;Stade Louis II
22;Sun;18/02/2024;17:05;Reims;1.1;1–1;1.2;Lens;Stade Auguste-Delaune
22;Sun;18/02/2024;20:45;Brest;1.7;1–0;0.6;Marseille;Stade Francis-Le Blé
23;Fri;23/02/2024;21:00;Metz;1.6;1–2;1.6;Lyon;Stade Saint-Symphorien
23;Sat;24/02/2024;17:00;Lorient;0.5;0–1;0.4;Nantes;Stade du Moustoir
23;Sat;24/02/2024;21:00;Strasbourg;0.2;0–3;1.8;Brest;Stade de la Meinau
23;Sun;25/02/2024;13:00;Lens;2.9;2–3;2.3;Monaco;Stade Bollaert-Delelis
23;Sun;25/02/2024;15:00;Toulouse;2.1;3–1;0.6;Lille;Stadium Municipal
23;Sun;25/02/2024;15:00;Le Havre;1.7;1–2;3.2;Reims;Stade Océane
23;Sun;25/02/2024;15:00;Nice;1.6;0–0;2.0;Clermont Foot;Stade de Nice
23;Sun;25/02/2024;17:05;Paris S-G;1.9;1–1;0.8;Rennes;Parc des Princes
23;Sun;25/02/2024;20:45;Marseille;2.7;4–1;0.6;Montpellier;Orange Vélodrome
24;Fri;01/03/2024;21:00;Monaco;1.6;0–0;1.5;Paris S-G;Stade Louis II
24;Sat;02/03/2024;17:00;Reims;0.6;0–1;1.1;Lille;Stade Auguste-Delaune
24;Sat;02/03/2024;21:00;Clermont Foot;0.7;1–5;2.4;Marseille;Stade Gabriel Montpied
24;Sun;03/03/2024;13:00;Toulouse;1.8;2–1;1.4;Nice;Stadium Municipal
24;Sun;03/03/2024;15:00;Nantes;0.9;0–2;2.0;Metz;Stade de la Beaujoire - Louis Fonteneau
24;Sun;03/03/2024;15:00;Montpellier;1.7;2–2;1.7;Strasbourg;Stade de la Mosson
24;Sun;03/03/2024;15:00;Brest;1.0;1–0;0.6;Le Havre;Stade Francis-Le Blé
24;Sun;03/03/2024;17:05;Rennes;1.4;1–2;2.0;Lorient;Roazhon Park
24;Sun;03/03/2024;20:45;Lyon;2.0;0–3;3.4;Lens;Groupama Stadium
25;Fri;08/03/2024;21:00;Nice;1.1;1–2;1.2;Montpellier;Stade de Nice
25;Sat;09/03/2024;17:00;Lorient;0.5;0–2;1.9;Lyon;Stade du Moustoir
25;Sat;09/03/2024;21:00;Lens;0.9;1–0;0.7;Brest;Stade Bollaert-Delelis
25;Sun;10/03/2024;13:00;Paris S-G;1.2;2–2;1.3;Reims;Parc des Princes
25;Sun;10/03/2024;15:00;Le Havre;1.0;1–0;0.3;Toulouse;Stade Océane
25;Sun;10/03/2024;15:00;Metz;1.7;1–0;0.8;Clermont Foot;Stade Saint-Symphorien
25;Sun;10/03/2024;15:00;Strasbourg;0.4;0–1;1.3;Monaco;Stade de la Meinau
25;Sun;10/03/2024;17:05;Lille;2.4;2–2;1.1;Rennes;Decathlon Arena - Stade Pierre-Mauroy
25;Sun;10/03/2024;20:45;Marseille;1.5;2–0;1.0;Nantes;Orange Vélodrome
26;Fri;15/03/2024;21:00;Toulouse;2.4;2–3;1.4;Lyon;Stadium Municipal
26;Sat;16/03/2024;17:00;Nantes;1.1;1–3;1.9;Strasbourg;Stade de la Beaujoire - Louis Fonteneau
26;Sat;16/03/2024;21:00;Lens;1.3;1–3;2.2;Nice;Stade Bollaert-Delelis
26;Sun;17/03/2024;13:00;Brest;1.0;1–1;0.8;Lille;Stade Francis-Le Blé
26;Sun;17/03/2024;15:00;Clermont Foot;1.1;2–1;1.2;Le Havre;Stade Gabriel Montpied
26;Sun;17/03/2024;15:00;Monaco;2.5;2–2;0.8;Lorient;Stade Louis II
26;Sun;17/03/2024;15:00;Reims;2.2;2–1;0.9;Metz;Stade Auguste-Delaune
26;Sun;17/03/2024;17:05;Rennes;1.4;2–0;0.7;Marseille;Roazhon Park
26;Sun;17/03/2024;20:45;Montpellier;2.3;2–6;1.5;Paris S-G;Stade de la Mosson
27;Fri;29/03/2024;21:00;Lille;1.6;2–1;0.6;Lens;Decathlon Arena - Stade Pierre-Mauroy
27;Sat;30/03/2024;17:00;Metz;2.1;2–5;2.4;Monaco;Stade Saint-Symphorien
27;Sat;30/03/2024;21:00;Lyon;1.8;1–1;1.4;Reims;Groupama Stadium
27;Sun;31/03/2024;13:00;Lorient;1.0;0–1;0.5;Brest;Stade du Moustoir
27;Sun;31/03/2024;15:00;Le Havre;0.8;0–2;1.6;Montpellier;Stade Océane
27;Sun;31/03/2024;15:00;Clermont Foot;0.8;0–3;1.8;Toulouse;Stade Gabriel Montpied
27;Sun;31/03/2024;15:00;Nice;1.3;1–2;1.7;Nantes;Stade de Nice
27;Sun;31/03/2024;17:05;Strasbourg;2.5;2–0;1.1;Rennes;Stade de la Meinau
27;Sun;31/03/2024;20:45;Marseille;1.4;0–2;2.1;Paris S-G;Orange Vélodrome
28;Fri;05/04/2024;21:00;Lille;1.8;3–1;1.2;Marseille;Decathlon Arena - Stade Pierre-Mauroy
28;Sat;06/04/2024;17:00;Lens;0.9;1–1;1.9;Le Havre;Stade Bollaert-Delelis
28;Sat;06/04/2024;21:00;Paris S-G;2.7;1–1;0.3;Clermont Foot;Parc des Princes
28;Sun;07/04/2024;13:00;Brest;3.2;4–3;2.2;Metz;Stade Francis-Le Blé
28;Sun;07/04/2024;15:00;Reims;0.5;0–0;1.9;Nice;Stade Auguste-Delaune
28;Sun;07/04/2024;15:00;Toulouse;1.0;0–0;0.5;Strasbourg;Stadium Municipal
